cpu,memory,configured_layers,traffic_ratio,circuit_breaker,start,end,attempt
2000m,2000Mi,1,0.8,1,1641839238125,1641839538150,0
2000m,2000Mi,1,0.8,1,1641839538095,1641839838152,1
2000m,2000Mi,1,0.8,1,1641839838096,1641840138155,2
2000m,2000Mi,1,0.8,1,1641840138105,1641840438164,3
2000m,2000Mi,1,0.8,1,1641840438110,1641840738169,4
2000m,2000Mi,2,0.8,1,1641840798288,1641841098368,0
2000m,2000Mi,2,0.8,1,1641841098314,1641841398369,1
2000m,2000Mi,2,0.8,1,1641841398310,1641841698369,2
2000m,2000Mi,2,0.8,1,1641841698315,1641841998374,3
2000m,2000Mi,1,0.8,1,1631921001229,1631921301293,0
2000m,2000Mi,1,0.8,1,1631921301238,1631922420241,1
2000m,2000Mi,1,0.8,1,1631922420184,1631923646717,2
2000m,2000Mi,1,0.8,1,1631923646665,1631923946727,3
2000m,2000Mi,1,0.8,1,1631923946669,1631924246729,4
2000m,2000Mi,2,0.8,1,1631924366939,1631924667001,0
2000m,2000Mi,2,0.8,1,1631924666943,1631924967033,1
2000m,2000Mi,2,0.8,1,1631924966976,1631926251610,2
2000m,2000Mi,2,0.8,1,1631926251694,1631927514562,3
2000m,2000Mi,2,0.8,1,1631927514509,1631927814564,4
2000m,2000Mi,3,0.8,1,1631928043443,1631928343593,0
2000m,2000Mi,3,0.8,1,1631928343542,1631928643604,1
2000m,2000Mi,3,0.8,1,1631928643548,1631928943608,2
2000m,2000Mi,3,0.8,1,1631928943552,1631930265552,3
2000m,2000Mi,3,0.8,1,1631930265494,1631930565557,4
2000m,2000Mi,all,0.8,1,1631930944705,1631931244781,0
2000m,2000Mi,all,0.8,1,1631931244732,1631931544810,1
2000m,2000Mi,all,0.8,1,1631931544753,1631931844808,2
2000m,2000Mi,all,0.8,1,1631931844752,1631934075513,3
2000m,2000Mi,all,0.8,1,1631934075468,1631934375526,4
2000m,2000Mi,1,0.8,20,1631934454400,1631934754457,0
2000m,2000Mi,1,0.8,20,1631934754401,1631935054530,1
2000m,2000Mi,1,0.8,20,1631935054477,1631935354540,2
2000m,2000Mi,1,0.8,20,1631935354483,1631935654536,3
2000m,2000Mi,1,0.8,20,1631935654479,1631937835253,4
2000m,2000Mi,2,0.8,20,1631937973911,1631938273966,0
2000m,2000Mi,2,0.8,20,1631938273909,1631938573965,1
2000m,2000Mi,2,0.8,20,1631938573907,1631938873962,2
2000m,2000Mi,2,0.8,20,1631938873905,1631939174019,3
2000m,2000Mi,2,0.8,20,1631939173962,1631939474024,4
