cpu,memory,configured_layers,traffic_ratio,spike_ratio,circuit_breaker,retry_attempts,retry_timeout,start,end,attempt
2000m,2000Mi,all,1,0,1,1,0,1632751885958,1632752186016,0
2000m,2000Mi,all,1,0,1,2,0,1632752246819,1632752546881,0
2000m,2000Mi,all,1,0,1,10,0,1632752607663,1632752907724,0
2000m,2000Mi,all,1,0,1,2,0,1632735872590,1632736172644,0
2000m,2000Mi,all,1,0,20,2,0,1632736233428,1632736533482,0
2000m,2000Mi,all,1,0,1024,2,0,1632736594444,1632736894545,0
2000m,2000Mi,"[1, 1]",1,0,20,2,0,1632868338741,1632868638802,0
2000m,2000Mi,"[1, 2]",1,0,20,2,0,1632868698986,1632868999049,0
2000m,2000Mi,"[1, 3]",1,0,20,2,0,1632869059398,1632869359461,0
2000m,2000Mi,"[1, 'all']",1,0,20,2,0,1632869421273,1632869721332,0
2000m,2000Mi,"[2, 1]",1,0,20,2,0,1632869781827,1632870081889,0
2000m,2000Mi,"[2, 2]",1,0,20,2,0,1632870142183,1632870442213,0
2000m,2000Mi,"[2, 3]",1,0,20,2,0,1632870502688,1632870802746,0
2000m,2000Mi,"[2, 'all']",1,0,20,2,0,1632870863492,1632871163548,0
2000m,2000Mi,"[3, 1]",1,0,20,2,0,1632871225198,1632871525254,0
2000m,2000Mi,"[3, 2]",1,0,20,2,0,1632871585755,1632871885813,0
2000m,2000Mi,"[3, 3]",1,0,20,2,0,1632871946484,1632873287994,0
2000m,2000Mi,"[3, 'all']",1,0,20,2,0,1632873367431,1632873667487,0
2000m,2000Mi,"['all', 1]",1,0,20,2,0,1632873728408,1632874028458,0
2000m,2000Mi,"['all', 2]",1,0,20,2,0,1632874089300,1632874389353,0
2000m,2000Mi,"['all', 3]",1,0,20,2,0,1632874450345,1632874750397,0
2000m,2000Mi,"['all', 'all']",1,0,20,2,0,1632874811806,1632875111911,0
2000m,2000Mi,all,0.8,0.2,20,10,25ms,1632850744279,1632851044338,0
2000m,2000Mi,all,0.8,0.2,20,10,5s,1632851105147,1632851405284,0
2000m,2000Mi,all,0.8,0.2,20,10,20s,1632851466072,1632851766142,0
2000m,2000Mi,all,0.8,0.4,20,10,25ms,1632851947053,1632852247115,0
2000m,2000Mi,all,0.8,0.4,20,10,5s,1632852307886,1632852607950,0
2000m,2000Mi,all,0.8,0.4,20,10,20s,1632852668886,1632852968948,0
2000m,2000Mi,all,0.8,0.5,20,10,25ms,1632853149841,1632853449910,0
2000m,2000Mi,all,0.8,0.5,20,10,5s,1632853510918,1632853810985,0
2000m,2000Mi,all,0.8,0.5,20,10,20s,1632853871852,1632854171916,0
2000m,2000Mi,all,1,0,20,10,25ms,1632837057737,1632837357794,0
2000m,2000Mi,all,1,0,20,10,5s,1632837418542,1632837718601,0
2000m,2000Mi,all,1,0,20,10,20s,1632837779390,1632838079446,0
2000m,2000Mi,all,0.8,0,20,10,25ms,1632821301159,1632821601202,0
2000m,2000Mi,all,0.8,0,20,10,5s,1632821661983,1632821962038,0
2000m,2000Mi,all,0.8,0,20,10,20s,1632822022835,1632822322892,0
